title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Java Developer,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation",$60K-$88K,1 to 8 Years,City of Baghdad,Iraq,Temporary,Stanley Black & Decker,2022-12-18,"frontend, backend, user interface, documentation, java, security",6,1,Software Development,2,Application Development
UI Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",$59K-$121K,1 to 15 Years,San Salvador,El Salvador,Full-Time,Deutsche Wohnen SE,2023-02-26,"user interface, html, javascript, web development",4,0,Design & UI/UX,2,Application Development
Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.",SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,$59K-$115K,0 to 12 Years,Antananarivo,Madagascar,Contract,Hewlett Packard Enterprise,2023-03-21,"database, sql, data modeling, security, problem solving",5,5,Database & Systems,4,Network & Security
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,$65K-$81K,2 to 8 Years,Doha,Qatar,Contract,Aurizon Holdings,2023-04-14,"critical thinking, communication, problem solving",3,3,Data & Analytics,2,Application Development
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$56K-$120K,1 to 14 Years,Kuala Lumpur,Malaysia,Part-Time,Autoliv,2021-11-06,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node",13,1,Software Development,2,Application Development
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$63K-$126K,1 to 8 Years,Dublin,Ireland,Part-Time,Paccar,2022-04-26,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
Financial Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,$59K-$122K,4 to 14 Years,Pretoria,South Africa,Contract,Berkeley Group Holdings,2023-02-07,data analysis,1,3,Data & Analytics,1,Data & Business Analytics
Software Engineer,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills",$64K-$91K,4 to 8 Years,Tallinn,Estonia,Contract,SSE plc,2021-11-14,"gcp, aws, docker, infrastructure, devops, azure, bash, collaboration, cloud, terraform, kubernetes, python, ansible",13,2,Marketing & Architecture,3,UI/UX Design
Technical Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,$65K-$115K,1 to 12 Years,Brussels,Belgium,Temporary,Union Pacific,2023-08-13,,0,2,Marketing & Architecture,0,Engineering & Systems
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$64K-$112K,1 to 8 Years,Funafuti,Tuvalu,Part-Time,Adobe,2022-07-01,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node",13,1,Software Development,2,Application Development
UX/UI Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",$60K-$126K,1 to 15 Years,Marigot,St. Martin (French part),Full-Time,Henry Schein,2021-11-01,"wireframing, sketch, prototyping, user research, adobe",5,0,Design & UI/UX,5,Testing & Performance
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$56K-$97K,5 to 14 Years,Luanda,Angola,Full-Time,Fluor,2023-05-31,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
SEO Analyst,"As a Technical SEO Analyst, your role is to analyze website performance and identify opportunities for optimization. You will work on improving site speed, mobile-friendliness, and other technical aspects to enhance search engine rankings. You will also perform keyword research, conduct competitive analysis, and provide recommendations to improve website SEO.","Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization",$56K-$92K,4 to 12 Years,Vientiane,Lao PDR,Contract,Burlington Stores,2023-04-15,mobile,1,2,Marketing & Architecture,5,Testing & Performance
Electrical Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,$56K-$108K,2 to 8 Years,Praia,Cabo Verde,Contract,Albertsons,2022-12-05,,0,2,Marketing & Architecture,5,Testing & Performance
